starname,mass,mass_mc_err,mass_observed,mass_resid,age_log10yr,age_gyr,age_gyr_mc_err,age_observed,age_resid,feh,feh_mc_err,feh_observed,feh_resid,AV,AV_mc_err,distance_pc,distance_pc_mc_err,chi2,dof,red_chi2,success,message,bands_used,used_teff_initial,used_feh_initial,used_age_initial,BP_mag_obs,BP_mag_model,BP_mag_resid,G_mag_obs,G_mag_model,G_mag_resid,RP_mag_obs,RP_mag_model,RP_mag_resid,J_mag_obs,J_mag_model,J_mag_resid,H_mag_obs,H_mag_model,H_mag_resid,K_mag_obs,K_mag_model,K_mag_resid
Kepler-45,0.639828864810994,0.01576308113969084,0.59,0.04982886481099402,8.97234488967085,0.9383068560866232,0.4332609813003073,0.5,0.43830685608662323,0.300503579722285,0.05940387119299534,0.28,0.020503579722284948,2.789900467955849e-21,0.042467511937678566,378.94014418243995,12.991799420186736,7.017179573210554,3,2.3390598577368515,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,16.9616699727809,16.87905425427608,-0.08261571850481886,15.964753546512,15.963874034133386,-0.0008795123786136116,14.97980541498,15.040859364704565,0.061053949724565015,13.749,13.774793942133758,0.025793942133757852,13.077,13.04241957501456,-0.03458042498544067,12.892,12.88936709179248,-0.002632908207520046
Kepler-1312,0.968655623380296,0.021811317842064075,0.99,-0.02134437661970401,9.301029995663981,2.0000000000000004,0.10972693608318412,2.0,4.440892098500626e-16,8.340277439617253e-08,0.08477448365843858,-0.02,0.020000083402774396,0.03667731659309973,0.06943044882379858,298.57654725190815,8.292229277026754,0.9466697399439067,3,0.3155565799813022,True,`xtol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,12.72090049795,12.71190289969417,-0.008997598255829686,12.3700183875,12.371853422716805,0.0018350352168052808,11.8529606527,11.865320117625343,0.012359464925342678,11.323,11.307918130163685,-0.01508186983631532,10.947,10.954096153271259,0.007096153271259453,10.907,10.91104416558761,0.004044165587609783
Kepler-74,1.323443758371173,0.08065221419511288,1.18,0.14344375837117296,8.663484259334602,0.4607700681352147,0.06726383674913548,0.8,-0.33922993186478534,0.41584988454637595,0.08167599797862775,0.42,-0.004150115453624037,0.35404536053517105,0.13368108310364518,1130.901401565653,111.84417710285456,0.3509617343864264,3,0.11698724479547547,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,14.693183500403,14.696957080960793,0.003773580557792755,14.35225123136,14.352312525270227,6.129391022646757e-05,13.84868321416,13.843794344032265,-0.004888870127734535,13.306,13.297905930902711,-0.008094069097287715,13.008,13.017409442610901,0.009409442610902374,12.958,12.958685214763367,0.0006852147633669148
Kepler-284,0.8699564693073252,0.06003035535265254,0.766,0.10395646930732516,8.312825686413554,0.20550655849192345,0.16423274555846334,0.5,-0.29449344150807655,-0.2554682282267534,0.09998275565432845,-0.26,0.004531771773246596,0.2869082074952474,0.20010292730860688,1075.2686675500142,101.14219161755074,0.5932541482133011,3,0.19775138273776705,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,16.229507424053,16.204755673023975,-0.024751751029025826,15.799603964996,15.801633051421675,0.0020290864256740093,15.208415042967,15.230340139083713,0.021925096116714116,14.559,14.55423594778236,-0.004764052217639758,14.155,14.146909867542607,-0.008090132457391874,14.079,14.086518780179327,0.007518780179326612
Kepler-1322,0.9647042798891824,0.0795235636862778,0.897,0.06770427988918237,8.569783771970448,0.37135029390205004,0.18903647700065992,0.4,-0.02864970609794998,-0.2849471744752802,0.10126049460006896,-0.3,0.015052825524719815,0.5161557443111782,0.21480488555799743,1264.9928226026125,150.91038497215715,2.0164288955232275,3,0.6721429651744092,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,16.184507184943,16.1554521045712,-0.029055080371801267,15.764377898342,15.76759540322959,0.00321750488759065,15.183186239783,15.20785461207007,0.02466837228707064,14.572,14.542044394092077,-0.029955605907922234,14.167,14.178284666757191,0.01128466675719153,14.068,14.115739469226703,0.04773946922670369
Kepler-358,1.0303104625031347,0.06901737516553719,0.94,0.09031046250313479,9.138089545981646,1.3743253141478438,0.11640860321855835,0.4,0.9743253141478437,0.026397516505148603,0.10062996400773976,0.035,-0.0086024834948514,0.42679091657853024,0.17871575356802316,1138.315973003377,123.60634930867143,1.88256894676647,3,0.62752298225549,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,15.7351099618,15.742935600047854,0.007825638247854982,15.345185891976,15.34511744118805,-6.845078794981418e-05,14.795201384152,14.779760543824493,-0.015440840327507033,14.106,14.120416300978091,0.014416300978091101,13.789,13.754159904942231,-0.03484009505776875,13.652,13.690071504630335,0.03807150463033615
Kepler-339,0.9231668746807363,0.03719428423765317,0.87,0.05316687468073633,8.974674673359972,0.9433539523881721,0.20683728650617697,0.98,-0.03664604761182788,0.013818561891601265,0.09620936019234803,0.033,-0.019181438108398736,0.10750441341793228,0.11858364231839923,652.6383567081816,33.158909335795805,2.0687894788042946,3,0.6895964929347649,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,14.90023203469,14.889949234967412,-0.010282799722586944,14.497474423486,14.496064195736853,-0.0014102277491474524,13.93399719525,13.937742697149691,0.00374550189969014,13.28,13.299446744458212,0.019446744458212706,12.895,12.897336505951364,0.002336505951364032,12.874,12.841538406496385,-0.03246159350361566
Kepler-276,0.9524487017930614,0.06443237956898817,0.845,0.10744870179306143,8.105465995623701,0.12748702762811726,0.08533597352736212,0.4,-0.27251297237188277,-0.28224311240965577,0.10009846110455858,-0.29,0.007756887590344208,0.30815641749844846,0.1725571077480535,1087.1245082395562,104.05908623427263,0.4229515960478758,3,0.14098386534929194,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,15.716910155404,15.70506267110575,-0.011847484298249,15.35260682468,15.353526122820584,0.0009192981405838907,14.820025084231,14.829999202078998,0.009974117847997732,14.234,14.226538473066876,-0.007461526933123963,13.867,13.876262972628902,0.009262972628901522,13.838,13.825600848334823,-0.012399151665176689
Kepler-1695,1.0106939930479064,0.05142690417703219,0.96,0.05069399304790645,9.070098366175412,1.1751636952496283,0.106479682691847,0.5,0.6751636952496283,-0.028762251068789556,0.09887812565476496,-0.0347,0.005937748931210445,0.3545818104573592,0.1470802797394042,812.902515982498,63.07011685129178,0.36527447440628247,3,0.1217581581354275,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,14.99125162946,14.992762495236581,0.001510865776580772,14.611070420788,14.61238808922643,0.0013176684384301751,14.06908579991,14.063300290586549,-0.0057855093234522315,13.438,13.428899033236668,-0.009100966763332607,13.064,13.068063158345712,0.004063158345712026,12.998,13.00962802365493,0.01162802365493043
Kepler-1881,0.9740835221022206,0.06898102040811446,0.812,0.16208352210222055,8.785845749479531,0.6107250721333985,0.20592650583768263,0.9,-0.2892749278666015,0.12169095295420264,0.09759119811636814,0.12,0.001690952954202643,0.545654903971484,0.22916895265642703,1091.938874947272,109.01386410287891,4.279272429132717,3,1.4264241430442388,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,16.26719324451,16.326027104909247,0.05883386039924687,15.848116368798,15.840672352057263,-0.007444016740736359,15.1932624996939,15.199541136632742,0.0062786369388430074,14.423,14.417405694026563,-0.00559430597343713,13.943,13.981759657184016,0.038759657184016305,13.978,13.89675487129088,-0.08124512870911893
