pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,ra,dec,FUVmag,e_FUVmag,NUVmag,e_NUVmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Bmag,e_Bmag,Vmag,e_Vmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,tic_Bmag,tic_e_Bmag,tic_Vmag,tic_e_Vmag,gaiamag,e_gaiamag,gaia_Gmag,gaia_BPmag,gaia_RPmag,Tmag,e_Tmag
TOI-2406 b,TOI-2406,2528453161326406016,2528453161326406016,212957629,8.8060544,-3.3720833,,,,,,,,,,,,,,,,,,,,,,,,,17.7298,0.0015,16.5707,0.007,14.9347,0.0015,14.1994,0.0036,13.8497,0.0026,12.633,0.024,12.129,0.024,11.894,0.025,,,,,,,,,,,,,15.6955,0.000641,15.662981986999500,17.433902740478500,14.392950057983400,14.3109,0.007448
WASP-93 b,WASP-93,415703635408772480,415703635408772480,240681314,9.4587443,51.288778,,,,,,,,,,,,,,,11.541000366210900,0.024000000208616300,11.08899974823000,0.03700000047683720,11.267000198364300,0.03200000151991840,10.996000289917000,0.04100000113248830,10.930000305175800,0.04600000008940700,11.6647,0.0961,11.6695,0.0794,10.3669,0.0193,,,11.488,0.001,10.233,0.022,9.997,0.021,9.942,0.016,9.887,0.023,9.9,0.02,9.854,0.039,9.072,0.377,11.573,0.106,10.966,0.007,10.978,0.000447,10.984386444091800,11.209535598754900,10.591512680053700,10.6496,0.006
HAT-P-19 b,HAT-P-19,365426679516816512,365426679516816512,267650535,9.5165832,34.7114025,,,,,15.7269,0.00504039,15.1679,0.0104896,12.7461,0.00254408,14.0311,0.00820959,12.867,0.00450818,13.833999633789100,0.050999999046325700,12.852999687194800,0.054999999701976800,13.380999565124500,0.17599999904632600,12.5,0.03400000184774400,12.274999618530300,0.17399999499321000,13.196,,12.564,,12.31,,12.18,,12.1256,0.0106,11.095,0.02,10.644,0.022,10.546,0.019,10.495,0.022,10.557,0.02,10.561,0.091,8.691,,13.834,0.051,12.826,0.057,12.5567,0.000238,12.54554557800290,13.058815002441400,11.884493827819800,11.9475,0.006
HAT-P-16 b,HAT-P-16,381592313648387200,381592313648387200,191284318,9.5730343,42.4630961,20.8257,0.3624,15.7473,0.012,,,,,,,,,,,11.414999961853000,0.1340000033378600,10.861000061035200,0.07900000363588330,11.031999588012700,0.10599999874830200,10.746000289917000,0.05999999865889550,10.75100040435790,0.6330000162124630,11.125,,10.84,,10.743,,10.711,,10.708,,9.85,0.022,9.623,0.022,9.553,0.02,9.506,0.022,9.531,0.019,9.505,0.036,8.681,,11.38,0.111,10.911,0.008,10.7568,0.000256,10.758674621582000,11.036282539367700,10.316912651062000,10.374,0.0061
K2-149 b,K2-149,2557342829345854208,2557342829345854208,429035886,9.8217519,7.2769939,,,,,,,,,,,,,,,16.05500030517580,0.06400000303983690,14.543000221252400,0.17599999904632600,15.321000099182100,0.03500000014901160,13.970999717712400,0.13500000536441800,13.170000076293900,0.15600000321865100,15.1936,0.0033,13.9945,0.0014,13.336,,12.932,,12.5968,0.0055,11.452,0.023,10.762,0.032,10.561,0.021,10.482,0.023,10.497,0.021,10.475,0.25,8.351,,16.055,0.064,14.543,0.176,13.7795,0.000301,13.763970375061000,14.813716888427700,12.746868133544900,12.7422,0.00726464
TOI-1470 b,TOI-1470,427224073427887360,427224073427887360,284441182,10.0891431,61.2133868,,,,,,,,,,,,,,,14.862000465393100,0.23100000619888300,13.458999633789100,0.035999998450279200,14.182000160217300,0.1850000023841860,12.859999656677200,0.0430000014603138,11.871000289917000,0.04399999976158140,14.0682,0.0047,12.892,,12.192,,11.704,,11.486,,10.154,0.024,9.514,0.032,9.283,0.02,9.16,0.023,9.087,0.02,9.011,0.025,9.09,,14.862,0.231,13.459,0.036,12.5555,0.000285,12.542486190795900,13.669262886047400,11.4864501953125,11.4752,0.00729855
TOI-1470 c,TOI-1470,427224073427887360,427224073427887360,284441182,10.0891431,61.2133868,,,,,,,,,,,,,,,14.862000465393100,0.23100000619888300,13.458999633789100,0.035999998450279200,14.182000160217300,0.1850000023841860,12.859999656677200,0.0430000014603138,11.871000289917000,0.04399999976158140,14.0682,0.0047,12.892,,12.192,,11.704,,11.486,,10.154,0.024,9.514,0.032,9.283,0.02,9.16,0.023,9.087,0.02,9.011,0.025,9.09,,14.862,0.231,13.459,0.036,12.5555,0.000285,12.542486190795900,13.669262886047400,11.4864501953125,11.4752,0.00729855
TOI-244 b,TOI-244,5001098681543159040,5001098681543159040,118327550,10.5697537,-36.7179743,,,,,,,,,,,,,,,14.210000038147000,0.02500000037252900,12.692999839782700,0.02800000086426740,13.395999908447300,0.026000000536441800,12.107999801635700,0.04399999976158140,10.784000396728500,0.02800000086426740,,,,,,,,,,,8.827,0.023,8.251,0.033,7.97,0.029,7.8,0.026,7.712,0.019,7.606,0.019,7.511,0.133,14.21,0.025,12.861,0.069,11.553,0.001017,11.548954010009800,12.9330472946167,10.387750625610400,10.3475,0.00729009
LHS 1140 c,LHS 1140,2371032916186181760,2371032916186181760,92226327,11.248632,-15.2741085,,,,,,,,,,,,,,,15.880999565124500,0.09099999815225600,14.149999618530300,0.06199999898672100,14.901000022888200,0.03500000014901160,13.54800033569340,0.01899999938905240,11.845000267028800,0.10400000214576700,14.7512,0.0019,13.5599,0.0041,11.9588,0.001,11.4374,0.0326,10.8362,0.1073,9.612,0.023,9.092,0.026,8.821,0.024,,,,,,,,,15.881,0.091,14.15,0.062,12.6706,0.000356,12.653936386108400,14.414494514465300,11.38351058959960,11.2991,0.00732876
LHS 1140 b,LHS 1140,2371032916186181760,2371032916186181760,92226327,11.248632,-15.2741085,,,,,,,,,,,,,,,15.880999565124500,0.09099999815225600,14.149999618530300,0.06199999898672100,14.901000022888200,0.03500000014901160,13.54800033569340,0.01899999938905240,11.845000267028800,0.10400000214576700,14.7512,0.0019,13.5599,0.0041,11.9588,0.001,11.4374,0.0326,10.8362,0.1073,9.612,0.023,9.092,0.026,8.821,0.024,,,,,,,,,15.881,0.091,14.15,0.062,12.6706,0.000356,12.653936386108400,14.414494514465300,11.38351058959960,11.2991,0.00732876
