hostname,distance_pc,mass_model,mass_err,mass_err_minus,mass_err_plus,age_yr_model,age_yr_err,age_yr_err_minus,age_yr_err_plus,feh_model,feh_err,feh_err_minus,feh_err_plus,av_model,chi2_total,st_mass_measured,st_age_gyr_measured,st_met_measured,G_mag_abs_measured,G_mag_abs_model,BP_mag_abs_measured,BP_mag_abs_model,RP_mag_abs_measured,RP_mag_abs_model,J_mag_abs_measured,J_mag_abs_model,H_mag_abs_measured,H_mag_abs_model,K_mag_abs_measured,K_mag_abs_model,W1_mag_abs_measured,W1_mag_abs_model,W2_mag_abs_measured,W2_mag_abs_model,W3_mag_abs_measured,W3_mag_abs_model,W4_mag_abs_measured,W4_mag_abs_model,g_mag_abs_measured,g_mag_abs_model,r_mag_abs_measured,r_mag_abs_model,i_mag_abs_measured,i_mag_abs_model,z_mag_abs_measured,z_mag_abs_model
Kepler-1643,340.232299804688,0.9147157162894696,0.0792597027062494,0.0810131810874505,0.0775062243250483,36592900.54362082,8524248.764886163,7658645.076074295,9389852.453698032,0.0018537727276857,0.0993846246935022,0.0999013815348885,0.0988678678521159,1.207137948968329,17.64429135887199,0.845,0.046,-0.01,6.17722096700667,6.098460608479538,6.72599568624497,6.762269255525494,5.483478214931471,5.3392426849352,4.625122296047171,4.3695430543094655,4.10512229604717,3.854369309449585,3.9771222960471695,3.7317809439219687,3.3601222960471704,3.7086668779360745,3.3731222960471703,3.743017453190405,3.89912229604717,3.695746750175623,1.8731222960471705,3.694708158545012,,7.095603199381016,,6.149170726822106,,5.747859438094583,,5.484985772058531
TOI-942,150.904144287109,0.9528659084753198,0.0678564092621875,0.0652875746391341,0.0704252438852408,54249244.32978125,19046768.380781427,12620358.68523218,25473178.07633068,-0.2325425313431301,0.1020848437977393,0.0994388431919613,0.1047308444035173,0.8814704423437469,6.945900272479147,0.822,0.053,-0.221,5.736792779563478,5.66724679196818,6.21567270815228,6.183457632932432,5.086109376548279,5.034289966331436,4.337494165061479,4.251608142303468,3.853494165061479,3.829373245493029,3.745494165061478,3.7414908251671584,3.6824941650614793,3.7236890803358,3.715494165061479,3.7360354447446777,3.559494165061478,3.710680498127455,2.5844941650614786,3.708184884416864,,6.418140004360973,,5.712261248595362,,5.422117348056654,,5.249417598620417
TIC 434398831,213.246231079102,1.0858061337619396,0.0585448669442956,0.0560728875548457,0.0610168463337454,61019532.36453202,5900560.361296512,5792538.874202825,6008581.848390199,-0.0896760012445669,0.0986834485201104,0.0998274505783454,0.0975394464618753,0.8082304034851924,10.568917101156318,0.992,0.061,-0.081,5.125501130492795,5.065654754707463,5.486052010924896,5.531247144928804,4.587800477416595,4.484049590681709,3.945593179137795,3.782101076556024,3.5965931791377947,3.413012090478535,3.493593179137795,3.334913287697076,3.291593179137795,3.321614941079232,3.403593179137795,3.3301818671897205,3.3405931791377945,3.3130345473199405,1.7925931791377945,3.3128910448764977,,5.732217158668386,,5.109766960685376,,4.865224778779788,,4.730105386087488
TOI-6109,147.793212890625,1.0622242665832315,0.0522824088930008,0.050338577105067,0.0542262406809346,75009164.77429207,4976239.81778641,4975006.589872837,4977473.045699984,0.0856607070746787,0.0971241127635683,0.0971752984909282,0.0970729270362085,0.2604987498695592,0.370982890075867,1.03,0.075,0.0895,4.971155038202545,4.946175847011893,5.330640664423244,5.327809132802267,4.442596307123445,4.414992979403076,3.8077275479681454,3.820483178092777,3.467727547968145,3.4689262970703023,3.4027275479681443,3.4138857925190296,3.3847275479681453,3.4018545385859595,3.410727547968145,3.427178666514679,3.3747275479681456,3.394185841314874,3.1427275479681445,3.39529659860259,,5.480382743973116,,4.929764655752262,,4.771030035241619,,4.713853180734056
CoRoT-20,861.683959960938,1.351535469417481,0.1374739282717815,0.1331615127171941,0.1417863438263689,1032623978.0021662,86889129.44014528,1336617.5270269993,172441641.35326356,0.1099187947897874,0.1039530635718598,0.1108171303538763,0.0970889967898432,1.673986301644936,64.0017620065488,1.14,0.1,0.14,4.778708106965828,4.640062875966029,5.259075767488229,5.262096822827187,4.131662017793429,3.968463337116375,3.3142599563310284,3.0985766637632524,2.975259956331028,2.7150765914292188,2.8362599563310287,2.5896118673964685,2.7692599563310285,2.574996184176198,2.7832599563310296,2.5773927439421898,2.864259956331029,2.5723402333434846,-1.183740043668971,2.5756647221555893,,5.552965319315443,,4.765620131645631,,4.390296445545096,,4.137279526630154
Kepler-970,328.576721191406,0.7907375326669003,0.0569075794083203,0.0535830593296488,0.0602320994869919,105133704.6409354,10088272.17881263,10274764.079048485,9901780.278576776,0.0357629094493108,0.0962083694218198,0.0966606739478297,0.0957560648958099,0.990478486537876,32.326312075435055,0.67,0.105,0.04,7.204405115425454,7.148465297894382,7.905259416878053,7.9054285190766755,6.392683313667554,6.302672272800561,5.396816042244254,5.190179710164977,4.771816042244254,4.531556148648143,4.631816042244253,4.393277626429232,4.571816042244253,4.362594378679129,4.609816042244253,4.423975381471568,4.611816042244254,4.340384648305278,1.6148160422442537,4.334394135562978,,8.34192133016442,,7.172808424292175,,6.711456024200989,,6.4091195757903
Kepler-1928,325.444671630859,1.097953432892857,0.0584441147294522,0.0563145092006514,0.060573720258253,105036819.04610305,10038031.000256874,10130914.178802654,9945147.821711091,0.1127307582641013,0.0995937261400258,0.0987734694322077,0.1004139828478438,0.9038325998991458,24.657908408810822,1.01,0.105,0.12,5.042983740797755,5.288019733947665,5.401846617689854,5.815360820429214,4.5174328985125545,4.649362304718441,3.893614172926654,3.875115458441471,3.589614172926653,3.4704897934530567,3.5446141729266536,3.377667368239422,3.4976141729266548,3.362750365134388,3.5306141729266542,3.385437892878242,3.3506141729266545,3.356544560890097,1.346614172926655,3.3583434663418776,6.508314172926655,6.05827797322512,5.0294141729266535,5.324095222906182,5.091314172926655,5.037129543309362,6.010214172926654,4.86992839530232
HIP 94235,58.4520454406738,1.1431688969965732,0.0528880783299063,0.0502802200954468,0.0554959365643659,118092619.8328853,16736800.379673729,16599185.892419294,16874414.86692816,-0.0038854985779784,0.0984806281901009,0.0977808397865418,0.09918041659366,0.1106962952973537,0.4889613134773434,1.094,0.118,0.0,4.339208716817744,4.308397127344064,4.629398459859734,4.593825821790782,3.8723732180079353,3.8690127944692616,3.3670014337977245,3.40343814454955,3.132001433797725,3.124949649840352,3.047001433797725,3.090780814338839,3.007001433797725,3.083234021892064,2.9890014337977253,3.091908546535821,3.002001433797725,3.076902107120152,2.8940014337977247,3.0780811011921703,,4.680926341575082,,4.298359858709541,,4.213840051876852,,4.215216910413559
TOI-451,123.236480712891,0.9474353754235472,0.0625310609067865,0.060963280080683,0.0640988417328899,119943618.45024276,70257787.88954985,48604523.15289563,91911052.62620406,-1.0,0.4377800080100216,0.3833893419533162,0.492170674066727,0.9488724662324068,0.9213232657159708,0.95,0.12,,5.302353671894991,5.288843383168074,5.677459529744091,5.721501950932533,4.759877971516591,4.753131704396807,4.18230356203169,4.072701360516727,3.8333035620316913,3.725877289952368,3.73630356203169,3.6539648279840784,3.683303562031691,3.6411024470582056,3.7193035620316905,3.63662008471247,3.6633035620316914,3.621465541717156,3.17830356203169,3.611082841209992,,5.900416171589522,,5.378004804037599,,5.139346202844389,,4.999241752344997
K2-284,106.053291320801,0.6679111429243416,0.0453951327812353,0.0409864775175484,0.0498037880449222,175937391.34737304,260114476.8610717,149249644.43120876,370979309.2909346,0.0007778981873793,0.0987699381160477,0.1015335959852247,0.0960062802468707,0.4997797377016546,3.3528395002696927,0.63,0.12,0.0,7.723838747101309,7.719994374426796,8.54082197006281,8.51740904886512,6.8393382435613095,6.847653531815245,5.74037924392751,5.691399087756869,5.078379243927509,4.945562330756464,4.93037924392751,4.804065261553908,4.847379243927509,4.7659511669607,4.879379243927509,4.827260918817066,4.774379243927509,4.721034062275323,3.83337924392751,4.700290043650639,,9.057878156846582,,7.73646555768818,,7.246779440112119,,6.940252638479276
